"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	% of Total Deaths
	"Idaho"	"16"	"Madison County, ID"	"16065"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Madison County, ID"	"16065"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Madison County, ID"	"16065"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	13	0.0%
	"Idaho"	"16"	"Madison County, ID"	"16065"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	26	0.0%
	"Idaho"	"16"	"Madison County, ID"	"16065"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	28	0.0%
	"Idaho"	"16"	"Madison County, ID"	"16065"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	33	0.0%
	"Idaho"	"16"	"Madison County, ID"	"16065"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"55-64 years"	"55-64"	30	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"65-74 years"	"65-74"	32	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"75-84 years"	"75-84"	58	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"85+ years"	"85+"	67	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"45-54 years"	"45-54"	12	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"55-64 years"	"55-64"	20	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"65-74 years"	"65-74"	37	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"75-84 years"	"75-84"	72	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"85+ years"	"85+"	71	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"55-64 years"	"55-64"	19	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"65-74 years"	"65-74"	33	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"75-84 years"	"75-84"	65	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"85+ years"	"85+"	66	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"45-54 years"	"45-54"	12	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"55-64 years"	"55-64"	28	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"65-74 years"	"65-74"	44	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"75-84 years"	"75-84"	62	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"85+ years"	"85+"	64	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"55-64 years"	"55-64"	37	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"65-74 years"	"65-74"	35	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"75-84 years"	"75-84"	56	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"85+ years"	"85+"	55	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	14	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	21	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	36	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	60	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	62	0.1%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	17	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	11	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	24	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	31	0.0%
	"Idaho"	"16"	"Minidoka County, ID"	"16067"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"15-24 years"	"15-24"	11	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"45-54 years"	"45-54"	18	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"55-64 years"	"55-64"	58	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"65-74 years"	"65-74"	78	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"75-84 years"	"75-84"	142	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"85+ years"	"85+"	182	0.2%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"35-44 years"	"35-44"	11	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"45-54 years"	"45-54"	16	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"55-64 years"	"55-64"	59	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"65-74 years"	"65-74"	92	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"75-84 years"	"75-84"	124	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"85+ years"	"85+"	196	0.2%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"25-34 years"	"25-34"	11	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"35-44 years"	"35-44"	14	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"45-54 years"	"45-54"	21	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"55-64 years"	"55-64"	52	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"65-74 years"	"65-74"	98	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"75-84 years"	"75-84"	129	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"85+ years"	"85+"	207	0.2%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"35-44 years"	"35-44"	19	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"45-54 years"	"45-54"	27	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"55-64 years"	"55-64"	72	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"65-74 years"	"65-74"	140	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"75-84 years"	"75-84"	147	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"85+ years"	"85+"	187	0.2%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"25-34 years"	"25-34"	11	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"35-44 years"	"35-44"	14	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"45-54 years"	"45-54"	29	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"55-64 years"	"55-64"	62	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"65-74 years"	"65-74"	110	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"75-84 years"	"75-84"	161	0.2%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"85+ years"	"85+"	217	0.2%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	10	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	25	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	54	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	141	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	167	0.2%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	211	0.2%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	26	0.0%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	56	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	100	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	105	0.1%
	"Idaho"	"16"	"Nez Perce County, ID"	"16069"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"75-84 years"	"75-84"	18	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"85+ years"	"85+"	17	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"75-84 years"	"75-84"	13	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"85+ years"	"85+"	16	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"75-84 years"	"75-84"	15	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"85+ years"	"85+"	14	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2021"	"2021"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2021"	"2021"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2021"	"2021"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2021"	"2021"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2021"	"2021"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Oneida County, ID"	"16071"	"2021"	"2021"	"55-64 years"	"55-64"	Suppressed	Suppressed
